reservation_id,asset_id,requester_id,requested_at,reserved_from,reserved_until,status,source_system,conflict_event_id,conflict_detected,conflict_reason_code,conflict_severity,conflict_message,note
"r001","cam-001","s200","2026-05-31T08:00:00Z","2026-06-01T08:00:00Z","2026-06-01T16:00:00Z","OPEN","reservation_system","","YES","RESERVATION_CHECKOUT_CONFLICT","ERROR","Reservation r001 conflicts because asset cam-001 is currently checked out by another holder.","Active reservation."
"r002","cam-002","s201","2026-05-31T12:00:00Z","2026-06-01T12:00:00Z","2026-06-01T20:00:00Z","FULFILLED","reservation_system","","NO","","","","Reservation fulfilled by operational checkout."
"r003","cam-003","s202","2026-05-31T16:00:00Z","2026-06-01T16:00:00Z","2026-06-02T00:00:00Z","CANCELLED","reservation_system","","NO","","","","Reservation cancelled by requester or authorized staff."
"r004","cam-004","s203","2026-05-31T20:00:00Z","2026-06-01T20:00:00Z","2026-06-02T04:00:00Z","CONFLICTED","reservation_system","e019","NO","","","","Reservation overlaps an operational checkout event."
"r005","lap-001","s204","2026-06-01T00:00:00Z","2026-06-02T00:00:00Z","2026-06-02T08:00:00Z","CONFLICTED","reservation_system","","YES","RESERVATION_CHECKOUT_CONFLICT","ERROR","Reservation r005 conflicts because asset lap-001 is currently checked out by another holder.","Reservation expired before fulfillment."
"r006","lap-002","s205","2026-06-01T04:00:00Z","2026-06-02T04:00:00Z","2026-06-02T12:00:00Z","OPEN","reservation_system","","YES","RESERVATION_CHECKOUT_CONFLICT","ERROR","Reservation r006 conflicts because asset lap-002 is currently checked out by another holder.","Active reservation."
"r007","lap-003","s206","2026-06-01T08:00:00Z","2026-06-02T08:00:00Z","2026-06-02T16:00:00Z","FULFILLED","reservation_system","","YES","RESERVATION_CHECKOUT_CONFLICT","ERROR","Reservation r007 conflicts because asset lap-003 is currently checked out by another holder.","Reservation fulfilled by operational checkout."
"r008","lap-004","s207","2026-06-01T12:00:00Z","2026-06-02T12:00:00Z","2026-06-02T20:00:00Z","CANCELLED","reservation_system","","NO","","","","Reservation cancelled by requester or authorized staff."
"r009","lap-005","s208","2026-06-01T16:00:00Z","2026-06-02T16:00:00Z","2026-06-03T00:00:00Z","CONFLICTED","reservation_system","e044","NO","","","","Reservation overlaps an operational checkout event."
"r010","mic-001","s209","2026-06-01T20:00:00Z","2026-06-02T20:00:00Z","2026-06-03T04:00:00Z","CONFLICTED","reservation_system","","YES","RESERVATION_CHECKOUT_CONFLICT","ERROR","Reservation r010 conflicts because asset mic-001 is currently checked out by another holder.","Reservation expired before fulfillment."
