source_type,source_record_id,asset_id,conflicting_source,conflict_type,severity,reason_code,authority_classification,authority_action,message
"RESERVATION","r001","cam-001","OPERATIONAL_EVENT","RESERVATION_VS_OPERATIONAL_STATE","ERROR","RESERVATION_CHECKOUT_CONFLICT","ADVISORY","Do not overwrite asset state; generate a reservation conflict for review.","Reservation r001 conflicts because asset cam-001 is currently checked out by another holder."
"RESERVATION","r005","lap-001","OPERATIONAL_EVENT","RESERVATION_VS_OPERATIONAL_STATE","ERROR","RESERVATION_CHECKOUT_CONFLICT","ADVISORY","Do not overwrite asset state; generate a reservation conflict for review.","Reservation r005 conflicts because asset lap-001 is currently checked out by another holder."
"RESERVATION","r006","lap-002","OPERATIONAL_EVENT","RESERVATION_VS_OPERATIONAL_STATE","ERROR","RESERVATION_CHECKOUT_CONFLICT","ADVISORY","Do not overwrite asset state; generate a reservation conflict for review.","Reservation r006 conflicts because asset lap-002 is currently checked out by another holder."
"RESERVATION","r007","lap-003","OPERATIONAL_EVENT","RESERVATION_VS_OPERATIONAL_STATE","ERROR","RESERVATION_CHECKOUT_CONFLICT","ADVISORY","Do not overwrite asset state; generate a reservation conflict for review.","Reservation r007 conflicts because asset lap-003 is currently checked out by another holder."
"RESERVATION","r010","mic-001","OPERATIONAL_EVENT","RESERVATION_VS_OPERATIONAL_STATE","ERROR","RESERVATION_CHECKOUT_CONFLICT","ADVISORY","Do not overwrite asset state; generate a reservation conflict for review.","Reservation r010 conflicts because asset mic-001 is currently checked out by another holder."
"RESERVATION","r011","mic-002","OPERATIONAL_EVENT","RESERVATION_VS_OPERATIONAL_STATE","ERROR","RESERVATION_CHECKOUT_CONFLICT","ADVISORY","Do not overwrite asset state; generate a reservation conflict for review.","Reservation r011 conflicts because asset mic-002 is currently checked out by another holder."
"RESERVATION","r015","trip-002","OPERATIONAL_EVENT","RESERVATION_VS_OPERATIONAL_STATE","ERROR","RESERVATION_CHECKOUT_CONFLICT","ADVISORY","Do not overwrite asset state; generate a reservation conflict for review.","Reservation r015 conflicts because asset trip-002 is currently checked out by another holder."
"RESERVATION","r019","tab-002","OPERATIONAL_EVENT","RESERVATION_VS_OPERATIONAL_STATE","ERROR","RESERVATION_CONFLICT","ADVISORY","Do not overwrite asset state; generate a reservation conflict for review.","Reservation r019 conflicts with the current state of asset tab-002: MAINTENANCE."
"RESERVATION","r022","light-001","OPERATIONAL_EVENT","RESERVATION_VS_OPERATIONAL_STATE","ERROR","RESERVATION_CHECKOUT_CONFLICT","ADVISORY","Do not overwrite asset state; generate a reservation conflict for review.","Reservation r022 conflicts because asset light-001 is currently checked out by another holder."
"RESERVATION","r025","light-004","OPERATIONAL_EVENT","RESERVATION_VS_OPERATIONAL_STATE","ERROR","RESERVATION_CONFLICT","ADVISORY","Do not overwrite asset state; generate a reservation conflict for review.","Reservation r025 conflicts with the current state of asset light-004: RETIRED."
"RESERVATION","r026","cam-001","OPERATIONAL_EVENT","RESERVATION_VS_OPERATIONAL_STATE","ERROR","RESERVATION_CHECKOUT_CONFLICT","ADVISORY","Do not overwrite asset state; generate a reservation conflict for review.","Reservation r026 conflicts because asset cam-001 is currently checked out by another holder."
"RESERVATION","r030","lap-001","OPERATIONAL_EVENT","RESERVATION_VS_OPERATIONAL_STATE","ERROR","RESERVATION_CHECKOUT_CONFLICT","ADVISORY","Do not overwrite asset state; generate a reservation conflict for review.","Reservation r030 conflicts because asset lap-001 is currently checked out by another holder."
"AUDIT","AO-001","cam-001","OPERATIONAL_STATE","AUDIT_VS_RECONCILED_STATE","WARNING","AUDIT_STATE_DISCREPANCY","CONFIRMATORY","Generate an audit discrepancy and review case; do not automatically rewrite the ledger.","Audit observation does not match reconciled state at 2026-06-03T08:00:00Z: STATUS, CONDITION"
