policy_version,breach_type,record_id,asset_id,actor_id,actor_role,event_type,decision,reason_code,severity,repeat_offender,repeat_count,message
"2.0.0","INVALID_CORRECTION","MC-002","cam-004","student02","student","MANUAL_CORRECTION","REJECTED","MANUAL_CORRECTION_UNAUTHORIZED","WARNING","NO","1","Only authorized administrative actors may perform manual corrections."
"2.0.0","INVALID_CORRECTION","MC-003","lap-003","admin03","admin","MANUAL_CORRECTION","REJECTED","MANUAL_CORRECTION_INSUFFICIENT_EVIDENCE","WARNING","NO","1","Manual correction is missing required evidence: evidence_ref"
"2.0.0","INVALID_CORRECTION","MC-005","mic-004","student05","student","MANUAL_CORRECTION","REJECTED","MANUAL_CORRECTION_UNAUTHORIZED","WARNING","NO","1","Only authorized administrative actors may perform manual corrections."
"2.0.0","INVALID_CORRECTION","MC-008","light-001","student08","student","MANUAL_CORRECTION","REJECTED","MANUAL_CORRECTION_UNAUTHORIZED","WARNING","NO","1","Only authorized administrative actors may perform manual corrections."
"2.0.0","INVALID_CORRECTION","MC-010","cam-003","admin10","admin","MANUAL_CORRECTION","REJECTED","MANUAL_CORRECTION_INSUFFICIENT_EVIDENCE","WARNING","NO","1","Manual correction is missing required evidence: evidence_ref"
"2.0.0","INVALID_CORRECTION","MC-011","lap-002","student11","student","MANUAL_CORRECTION","REJECTED","MANUAL_CORRECTION_UNAUTHORIZED","WARNING","NO","1","Only authorized administrative actors may perform manual corrections."
"2.0.0","UNAUTHORIZED_ACTION","e004","cam-003","staff1","student","MAINTENANCE_CLOSE","REJECTED","UNAUTHORIZED_ACTOR","ERROR","YES","5","student is not permitted to perform MAINTENANCE_CLOSE."
"2.0.0","UNAUTHORIZED_ACTION","e008","lap-002","staff2","student","MAINTENANCE_CLOSE","REJECTED","UNAUTHORIZED_ACTOR","ERROR","YES","4","student is not permitted to perform MAINTENANCE_CLOSE."
"2.0.0","UNAUTHORIZED_ACTION","e013","mic-002","staff1","student","MAINTENANCE_CLOSE","REJECTED","UNAUTHORIZED_ACTOR","ERROR","YES","5","student is not permitted to perform MAINTENANCE_CLOSE."
"2.0.0","UNAUTHORIZED_ACTION","e016","tab-001","staff2","student","MAINTENANCE_OPEN","REJECTED","UNAUTHORIZED_ACTOR","ERROR","YES","4","student is not permitted to perform MAINTENANCE_OPEN."
"2.0.0","UNAUTHORIZED_ACTION","e018","tab-001","staff2","student","MAINTENANCE_CLOSE","REJECTED","UNAUTHORIZED_ACTOR","ERROR","YES","4","student is not permitted to perform MAINTENANCE_CLOSE."
"2.0.0","UNAUTHORIZED_ACTION","e024","trip-002","staff1","student","MAINTENANCE_OPEN","REJECTED","UNAUTHORIZED_ACTOR","ERROR","YES","5","student is not permitted to perform MAINTENANCE_OPEN."
"2.0.0","UNAUTHORIZED_ACTION","e025","trip-002","staff1","student","MAINTENANCE_CLOSE","REJECTED","UNAUTHORIZED_ACTOR","ERROR","YES","5","student is not permitted to perform MAINTENANCE_CLOSE."
"2.0.0","UNAUTHORIZED_ACTION","e029","cam-001","staff4","student","MAINTENANCE_OPEN","REJECTED","UNAUTHORIZED_ACTOR","ERROR","YES","2","student is not permitted to perform MAINTENANCE_OPEN."
"2.0.0","UNAUTHORIZED_ACTION","e031","cam-001","staff4","student","MAINTENANCE_CLOSE","REJECTED","UNAUTHORIZED_ACTOR","ERROR","YES","2","student is not permitted to perform MAINTENANCE_CLOSE."
"2.0.0","UNAUTHORIZED_ACTION","e033","tab-002","staff1","student","MAINTENANCE_CLOSE","REJECTED","UNAUTHORIZED_ACTOR","ERROR","YES","5","student is not permitted to perform MAINTENANCE_CLOSE."
"2.0.0","UNAUTHORIZED_ACTION","e046","lap-001","staff5","student","MAINTENANCE_CLOSE","REJECTED","UNAUTHORIZED_ACTOR","ERROR","NO","1","student is not permitted to perform MAINTENANCE_CLOSE."
"2.0.0","UNAUTHORIZED_ACTION","e050","cam-002","staff2","student","MAINTENANCE_CLOSE","REJECTED","UNAUTHORIZED_ACTOR","ERROR","YES","4","student is not permitted to perform MAINTENANCE_CLOSE."
"2.0.0","UNSUPPORTED_EVENT_TYPE","events.csv-36","lap-001","s114","student","HOLD","REJECTED","UNKNOWN_EVENT_TYPE","ERROR","NO","1","Unknown event type: HOLD"
