exception_id,asset_id,event_id,exception_type,rule_id,rule_name,previous_state,resulting_state,resolution_status,resolved_at
EX-0069,p04-001,p04-condition-001,CONDITION_DOWNGRADE,AUTO-CONDITION-DOWNGRADE,Minor Condition Downgrade,good,worn,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
EX-0070,p04-002,p04-condition-002,CONDITION_DOWNGRADE,AUTO-CONDITION-DOWNGRADE,Minor Condition Downgrade,good,worn,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
EX-0071,p04-003,p04-condition-003,CONDITION_DOWNGRADE,AUTO-CONDITION-DOWNGRADE,Minor Condition Downgrade,good,worn,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
EX-0072,p04-004,p04-condition-004,CONDITION_DOWNGRADE,AUTO-CONDITION-DOWNGRADE,Minor Condition Downgrade,good,worn,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
EX-0073,p04-005,p04-condition-005,CONDITION_DOWNGRADE,AUTO-CONDITION-DOWNGRADE,Minor Condition Downgrade,good,worn,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
EX-0074,p04-006,p04-condition-006,CONDITION_DOWNGRADE,AUTO-CONDITION-DOWNGRADE,Minor Condition Downgrade,good,worn,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
EX-0075,p04-007,p04-condition-007,CONDITION_DOWNGRADE,AUTO-CONDITION-DOWNGRADE,Minor Condition Downgrade,good,worn,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
EX-0076,p04-008,p04-condition-008,CONDITION_DOWNGRADE,AUTO-CONDITION-DOWNGRADE,Minor Condition Downgrade,good,worn,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
EX-0077,p04-009,p04-condition-009,CONDITION_DOWNGRADE,AUTO-CONDITION-DOWNGRADE,Minor Condition Downgrade,good,worn,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
EX-0078,p04-010,p04-condition-010,CONDITION_DOWNGRADE,AUTO-CONDITION-DOWNGRADE,Minor Condition Downgrade,good,worn,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
EX-0127,p04-001,p04-late-grace-001,LATE_RETURN_WITHIN_GRACE_PERIOD,AUTO-LATE-RETURN-GRACE,Late Return Within Grace Period,CHECKED_OUT,AVAILABLE,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
EX-0128,p04-002,p04-late-grace-002,LATE_RETURN_WITHIN_GRACE_PERIOD,AUTO-LATE-RETURN-GRACE,Late Return Within Grace Period,CHECKED_OUT,AVAILABLE,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
EX-0129,p04-003,p04-late-grace-003,LATE_RETURN_WITHIN_GRACE_PERIOD,AUTO-LATE-RETURN-GRACE,Late Return Within Grace Period,CHECKED_OUT,AVAILABLE,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
EX-0130,p04-004,p04-late-grace-004,LATE_RETURN_WITHIN_GRACE_PERIOD,AUTO-LATE-RETURN-GRACE,Late Return Within Grace Period,CHECKED_OUT,AVAILABLE,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
EX-0131,p04-005,p04-late-grace-005,LATE_RETURN_WITHIN_GRACE_PERIOD,AUTO-LATE-RETURN-GRACE,Late Return Within Grace Period,CHECKED_OUT,AVAILABLE,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
EX-0132,p04-006,p04-late-grace-006,LATE_RETURN_WITHIN_GRACE_PERIOD,AUTO-LATE-RETURN-GRACE,Late Return Within Grace Period,CHECKED_OUT,AVAILABLE,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
EX-0133,p04-007,p04-late-grace-007,LATE_RETURN_WITHIN_GRACE_PERIOD,AUTO-LATE-RETURN-GRACE,Late Return Within Grace Period,CHECKED_OUT,AVAILABLE,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
EX-0134,p04-008,p04-late-grace-008,LATE_RETURN_WITHIN_GRACE_PERIOD,AUTO-LATE-RETURN-GRACE,Late Return Within Grace Period,CHECKED_OUT,AVAILABLE,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
EX-0135,p04-009,p04-late-grace-009,LATE_RETURN_WITHIN_GRACE_PERIOD,AUTO-LATE-RETURN-GRACE,Late Return Within Grace Period,CHECKED_OUT,AVAILABLE,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
EX-0136,p04-010,p04-late-grace-010,LATE_RETURN_WITHIN_GRACE_PERIOD,AUTO-LATE-RETURN-GRACE,Late Return Within Grace Period,CHECKED_OUT,AVAILABLE,AUTO_RESOLVED,2026-09-01T19:50:12.660Z
