asset_id,asset_type,status,holder_id,location_id,condition,due_at,last_event_id,last_occurred_at,state_confidence,review_required,review_reasons
"cam-001","camera","CHECKED_OUT","s111","media-lab","scratched","","p04-normal-013","2026-06-13T23:51","LOW","YES","AUDIT_DISCREPANCY;AUDIT_STATE_DISCREPANCY;HOLDER_MISMATCH;ILLEGAL_STATE_TRANSITION;RESERVATION_CHECKOUT_CONFLICT;RESERVATION_NOT_FOUND;UNAUTHORIZED_ACTOR"
"cam-002","camera","AVAILABLE","","media-lab","good","2026-06-12T17:00:00Z","e124","2026-06-11T09:30:00Z","LOW","YES","AUDIT_STATE_DISCREPANCY;MANUAL_CORRECTION_INSUFFICIENT_EVIDENCE;RESERVATION_NOT_FOUND;UNAUTHORIZED_ACTOR"
"cam-003","camera","MAINTENANCE","","repair-bench","scratched","","","","LOW","YES","AUDIT_STATE_DISCREPANCY;ILLEGAL_STATE_TRANSITION;UNAUTHORIZED_ACTOR"
"cam-004","camera","AVAILABLE","","media-lab","good","","e132","2026-06-11T13:00:00Z","LOW","YES","AUDIT_DISCREPANCY;AUDIT_STATE_DISCREPANCY"
"lap-001","laptop","CHECKED_OUT","s115","equipment-store","good","","p04-auto-success-008","2026-06-13T16:46","LOW","YES","AUDIT_DISCREPANCY;AUDIT_STATE_DISCREPANCY;HOLDER_MISMATCH;ILLEGAL_STATE_TRANSITION;MANUAL_CORRECTION_INSUFFICIENT_EVIDENCE;RESERVATION_CHECKOUT_CONFLICT;UNAUTHORIZED_ACTOR"
"lap-002","laptop","CHECKED_OUT","s104","equipment-store","damaged","2026-06-12T12:00:00Z","e120","2026-06-10T17:00:00Z","LOW","YES","AUDIT_STATE_DISCREPANCY;ILLEGAL_STATE_TRANSITION;RESERVATION_CHECKOUT_CONFLICT;UNAUTHORIZED_ACTOR"
"lap-003","laptop","CHECKED_OUT","s115","equipment-store","good","","e131","2026-06-11T12:30:00Z","LOW","YES","AUDIT_STATE_DISCREPANCY;HOLDER_MISMATCH;ILLEGAL_STATE_TRANSITION;MANUAL_CORRECTION_INSUFFICIENT_EVIDENCE;RESERVATION_CHECKOUT_CONFLICT;RESERVATION_NOT_FOUND"
"lap-004","laptop","AVAILABLE","","equipment-store","good","","e061","2026-06-07T18:00:00Z","LOW","YES","AUDIT_DISCREPANCY;AUDIT_STATE_DISCREPANCY"
"lap-005","laptop","AVAILABLE","","library-store","good","","e065","2026-06-07T22:00:00Z","LOW","YES","AUDIT_STATE_DISCREPANCY"
"light-001","lighting","CHECKED_OUT","s108","media-lab","good","","p04-auto-success-006","2026-06-13T16:32","LOW","YES","AUDIT_DISCREPANCY;HOLDER_MISMATCH;ILLEGAL_STATE_TRANSITION;RESERVATION_CHECKOUT_CONFLICT;UNAUTHORIZED_ACTOR"
"light-002","lighting","CHECKED_OUT","s204","media-lab","worn","2026-06-12T18:00:00Z","","","LOW","YES","AUDIT_STATE_DISCREPANCY"
"light-003","lighting","AVAILABLE","","media-lab","good","","e142","2026-06-11T18:00:00Z","LOW","YES","MANUAL_CORRECTION_INSUFFICIENT_EVIDENCE;RESERVATION_NOT_FOUND"
"light-004","lighting","RETIRED","","media-lab","unusable","","","","LOW","YES","ASSET_NOT_RESERVABLE;AUDIT_STATE_DISCREPANCY;ILLEGAL_STATE_TRANSITION;RESERVATION_CONFLICT"
"mic-001","microphone","CHECKED_OUT","s104","studio-a","good","","p04-normal-003","2026-06-13T22:41","LOW","YES","AUDIT_DISCREPANCY;AUDIT_STATE_DISCREPANCY;ILLEGAL_STATE_TRANSITION;MANUAL_CORRECTION_INSUFFICIENT_EVIDENCE;MANUAL_CORRECTION_UNAUTHORIZED;RESERVATION_CHECKOUT_CONFLICT;RESERVATION_NOT_FOUND;UNAUTHORIZED_ACTOR"
"mic-002","microphone","CHECKED_OUT","s105","studio-a","unusable","2026-06-12T10:00:00Z","e125","2026-06-11T10:00:00Z","LOW","YES","AUDIT_STATE_DISCREPANCY;HOLDER_MISMATCH;ILLEGAL_STATE_TRANSITION;MANUAL_CORRECTION_INSUFFICIENT_EVIDENCE;RESERVATION_CHECKOUT_CONFLICT;RESERVATION_NOT_FOUND;UNAUTHORIZED_ACTOR"
"mic-003","microphone","AVAILABLE","","repair-bench","good","","e069","2026-06-08T02:00:00Z","LOW","YES","AUDIT_STATE_DISCREPANCY"
"mic-004","microphone","AVAILABLE","","repair-bench","good","","e073","2026-06-08T06:00:00Z","LOW","YES","AUDIT_DISCREPANCY;AUDIT_STATE_DISCREPANCY"
"p04-001","camera","AVAILABLE","","media-lab","good","2026-08-20T10:00:00Z","p04-late-grace-001","2026-08-20T11:00:00Z","LOW","YES","CONDITION_DOWNGRADE;LATE_RETURN_WITHIN_GRACE_PERIOD"
"p04-002","laptop","AVAILABLE","","media-lab","good","2026-08-21T10:00:00Z","p04-late-grace-002","2026-08-21T11:00:00Z","LOW","YES","CONDITION_DOWNGRADE;LATE_RETURN_WITHIN_GRACE_PERIOD"
"p04-003","microphone","AVAILABLE","","media-lab","good","2026-08-22T10:00:00Z","p04-late-grace-003","2026-08-22T11:00:00Z","LOW","YES","CONDITION_DOWNGRADE;LATE_RETURN_WITHIN_GRACE_PERIOD"
"p04-004","tripod","AVAILABLE","","media-lab","good","2026-08-23T10:00:00Z","p04-late-grace-004","2026-08-23T11:00:00Z","LOW","YES","CONDITION_DOWNGRADE;LATE_RETURN_WITHIN_GRACE_PERIOD"
"p04-005","tablet","AVAILABLE","","media-lab","good","2026-08-24T10:00:00Z","p04-late-grace-005","2026-08-24T11:00:00Z","LOW","YES","CONDITION_DOWNGRADE;LATE_RETURN_WITHIN_GRACE_PERIOD"
"p04-006","lighting","AVAILABLE","","media-lab","good","2026-08-25T10:00:00Z","p04-late-grace-006","2026-08-25T11:00:00Z","LOW","YES","CONDITION_DOWNGRADE;LATE_RETURN_WITHIN_GRACE_PERIOD"
"p04-007","camera","AVAILABLE","","media-lab","good","2026-08-26T10:00:00Z","p04-late-grace-007","2026-08-26T11:00:00Z","LOW","YES","CONDITION_DOWNGRADE;LATE_RETURN_WITHIN_GRACE_PERIOD"
"p04-008","laptop","AVAILABLE","","media-lab","good","2026-08-27T10:00:00Z","p04-late-grace-008","2026-08-27T11:00:00Z","LOW","YES","CONDITION_DOWNGRADE;LATE_RETURN_WITHIN_GRACE_PERIOD"
"p04-009","microphone","AVAILABLE","","media-lab","good","2026-08-28T10:00:00Z","p04-late-grace-009","2026-08-28T11:00:00Z","LOW","YES","CONDITION_DOWNGRADE;LATE_RETURN_WITHIN_GRACE_PERIOD"
"p04-010","tripod","AVAILABLE","","media-lab","good","2026-08-29T10:00:00Z","p04-late-grace-010","2026-08-29T11:00:00Z","LOW","YES","CONDITION_DOWNGRADE;LATE_RETURN_WITHIN_GRACE_PERIOD"
"p04-011","tablet","CHECKED_OUT","p04-user-011","media-lab","good","2026-08-30T10:00:00Z","","","LOW","YES","CONDITION_DOWNGRADE"
"p04-012","lighting","CHECKED_OUT","p04-user-012","media-lab","good","2026-08-31T10:00:00Z","","","LOW","YES","CONDITION_DOWNGRADE"
"p04-013","camera","CHECKED_OUT","p04-user-013","media-lab","good","2026-09-01T10:00:00Z","","","LOW","YES","CONDITION_DOWNGRADE"
"p04-014","laptop","CHECKED_OUT","p04-user-014","media-lab","good","2026-09-02T10:00:00Z","","","LOW","YES","CONDITION_DOWNGRADE"
"p04-015","microphone","CHECKED_OUT","p04-user-015","media-lab","good","2026-09-03T10:00:00Z","","","LOW","YES","CONDITION_DOWNGRADE"
"p04-016","tripod","CHECKED_OUT","p04-user-016","media-lab","good","2026-08-10T12:00:00Z","","","HIGH","NO",""
"p04-017","tablet","CHECKED_OUT","p04-user-017","media-lab","good","2026-08-11T12:00:00Z","","","HIGH","NO",""
"p04-018","lighting","CHECKED_OUT","p04-user-018","media-lab","good","2026-08-12T12:00:00Z","","","HIGH","NO",""
"p04-019","camera","CHECKED_OUT","p04-user-019","media-lab","good","2026-08-13T12:00:00Z","","","HIGH","NO",""
"p04-020","laptop","CHECKED_OUT","p04-user-020","media-lab","good","2026-08-14T12:00:00Z","","","HIGH","NO",""
"p04-021","microphone","AVAILABLE","","media-lab","good","2026-08-15T12:00:00Z","p04-late-review-001","2026-08-15T15:00:00Z","HIGH","NO",""
"p04-022","tripod","AVAILABLE","","media-lab","good","2026-08-16T12:00:00Z","p04-late-review-002","2026-08-16T15:00:00Z","HIGH","NO",""
"p04-023","tablet","AVAILABLE","","media-lab","good","2026-08-17T12:00:00Z","p04-late-review-003","2026-08-17T15:00:00Z","HIGH","NO",""
"p04-024","lighting","AVAILABLE","","media-lab","good","2026-08-18T12:00:00Z","p04-late-review-004","2026-08-18T15:00:00Z","HIGH","NO",""
"p04-025","camera","AVAILABLE","","media-lab","good","2026-08-19T12:00:00Z","p04-late-review-005","2026-08-19T15:00:00Z","HIGH","NO",""
"p04-026","laptop","AVAILABLE","","media-lab","good","2026-08-10T12:00:00Z","p04-late-review-006","2026-08-10T15:00:00Z","HIGH","NO",""
"p04-027","microphone","AVAILABLE","","media-lab","good","2026-08-11T12:00:00Z","p04-late-review-007","2026-08-11T15:00:00Z","HIGH","NO",""
"p04-028","tripod","AVAILABLE","","media-lab","good","2026-08-12T12:00:00Z","p04-late-review-008","2026-08-12T15:00:00Z","HIGH","NO",""
"p04-029","tablet","AVAILABLE","","media-lab","good","2026-08-13T12:00:00Z","p04-late-review-009","2026-08-13T15:00:00Z","HIGH","NO",""
"p04-030","lighting","AVAILABLE","","media-lab","good","2026-08-14T12:00:00Z","p04-late-review-010","2026-08-14T15:00:00Z","HIGH","NO",""
"tab-001","tablet","CHECKED_OUT","s107","library-store","good","","p04-auto-success-005","2026-06-13T16:25","LOW","YES","AUDIT_DISCREPANCY;HOLDER_MISMATCH;ILLEGAL_STATE_TRANSITION;MANUAL_CORRECTION_INSUFFICIENT_EVIDENCE;RESERVATION_NOT_FOUND;UNAUTHORIZED_ACTOR"
"tab-002","tablet","MAINTENANCE","","repair-bench","scratched","","","","LOW","YES","AUDIT_STATE_DISCREPANCY;ILLEGAL_STATE_TRANSITION;RESERVATION_CONFLICT;UNAUTHORIZED_ACTOR"
"tab-003","tablet","AVAILABLE","","equipment-store","good","2026-06-13T16:00:00Z","e149","2026-06-12T12:00:00Z","LOW","YES","MANUAL_CORRECTION_INSUFFICIENT_EVIDENCE"
"tab-004","tablet","AVAILABLE","","library-store","good","","e084","2026-06-08T17:00:00Z","LOW","YES","AUDIT_STATE_DISCREPANCY"
"trip-001","tripod","AVAILABLE","","studio-a","good","","p04-auto-success-010","2026-06-13T17:00","LOW","YES","AUDIT_DISCREPANCY;AUDIT_STATE_DISCREPANCY;CHECKOUT_LIMIT_EXCEEDED;ILLEGAL_STATE_TRANSITION;LATE_EVENT;MANUAL_CORRECTION_UNAUTHORIZED;RESERVATION_NOT_FOUND;UNAUTHORIZED_ACTOR"
"trip-002","tripod","CHECKED_OUT","s110","studio-a","new","","e126","2026-06-11T10:20:00Z","LOW","YES","AUDIT_STATE_DISCREPANCY;RESERVATION_CHECKOUT_CONFLICT;UNAUTHORIZED_ACTOR"
"trip-003","tripod","AVAILABLE","","studio-a","good","","e148","2026-06-12T11:30:00Z","LOW","YES","MANUAL_CORRECTION_INSUFFICIENT_EVIDENCE;RESERVATION_NOT_FOUND"
"trip-004","tripod","AVAILABLE","","studio-a","good","","e144","2026-06-12T09:30:00Z","LOW","YES","AUDIT_STATE_DISCREPANCY"
